[90, 135, 30.87, 27.41, [[], [1550.480859779769, 1555.854870931776, 1560.2823490542803], [], []]]
[90, 137, 31.21, 27.42, [[], [1550.4808416060107, 1555.854318561385, 1560.2815058235672], [], []]]
[90, 139, 31.27, 27.37, [[], [1550.4808768417452, 1555.8536855221898, 1560.282314502891], [], []]]
[90, 141, 31.35, 27.37, [[], [1550.4810333611476, 1555.8539148403856, 1560.283324131287], [], []]]
[90, 143, 31.54, 27.37, [[], [1550.4807062276152, 1555.853238846162, 1560.2840595594332], [], []]]
[90, 145, 31.68, 27.39, [[], [1550.4804580962932, 1555.853002062804, 1560.2839420028263], [], []]]
[90, 147, 31.55, 27.26, [[], [1550.4808764701636, 1555.8535111117703, 1560.2849129377896], [], []]]
[90, 149, 31.37, 27.37, [[], [1550.4808241734281, 1555.8537919633848, 1560.2862369418724], [], []]]
[90, 151, 31.34, 27.39, [[], [1550.4809792098067, 1555.8538744999782, 1560.2857009618465], [], []]]
[90, 153, 31.2, 27.41, [[], [1550.480806740936, 1555.8528791903955, 1560.287384418213], [], []]]
[90, 155, 30.94, 27.41, [[], [1550.4803479385976, 1555.8521049791134, 1560.287532413531], [], []]]
[90, 157, 30.35, 27.39, [[], [1550.4805975537038, 1555.8520015255126, 1560.2885672099217], [], []]]
[90, 159, 29.94, 27.37, [[], [1550.4802114475017, 1555.8513318874054, 1560.2887937074358], [], []]]
[90, 161, 29.75, 27.29, [[], [1550.4801094505158, 1555.851053653178, 1560.2893616135218], [], []]]
[90, 163, 29.83, 27.35, [[], [1550.4796213469301, 1555.851053649006, 1560.2908092094683], [], []]]
[90, 165, 29.94, 27.34, [[], [1550.4798131015996, 1555.8515802474076, 1560.2906856372847], [], []]]
[90, 167, 30.11, 27.35, [[], [1550.4795167534758, 1555.8514573748703, 1560.291338827977], [], []]]
[90, 169, 30.53, 27.34, [[], [1550.4798305340548, 1555.8519488669494, 1560.2922921226946], [], []]]
[90, 171, 31.05, 27.29, [[], [1550.4799176951435, 1555.8534233434054, 1560.2926451964634], [], []]]
[90, 173, 31.55, 27.32, [[], [1550.4801268824483, 1555.8537393015788, 1560.2931218429676], [], []]]
[95, 135, 31.9, 27.32, [[], [1550.4793925028857, 1555.8524657575401, 1560.2810013926228], [], []]]
[95, 137, 31.94, 27.31, [[], [1550.4793071954248, 1555.8513490680318, 1560.2797228315123], [], []]]
[95, 139, 31.83, 27.31, [[], [1550.4790000911514, 1555.852397034681, 1560.2826427769246], [], []]]
[95, 141, 31.64, 27.34, [[], [1550.4795167533498, 1555.8517908863055, 1560.2827415589825], [], []]]
[95, 143, 31.48, 27.37, [[], [1550.4792560113854, 1555.8512288083236, 1560.2827809995272], [], []]]
[95, 145, 31.22, 27.26, [[], [1550.479168108401, 1555.8502462014503, 1560.2825120654088], [], []]]
[95, 147, 30.83, 27.28, [[], [1550.479133243903, 1555.8499302416192, 1560.2822472723797], [], []]]
[95, 149, 30.24, 27.32, [[], [1550.4792204054781, 1555.8503164158797, 1560.2825826821436], [], []]]
[95, 151, 30.04, 27.31, [[], [1550.4784708192228, 1555.850158435454, 1560.283271159263], [], []]]
[95, 153, 30.26, 27.34, [[], [1550.4789937859707, 1555.8501584336132, 1560.2832182099332], [], []]]
[95, 155, 30.8, 27.34, [[], [1550.4784708190784, 1555.8503339659155, 1560.2850365057282], [], []]]
[95, 157, 31.15, 27.26, [[], [1550.478300577015, 1555.8501980221038, 1560.284387838394], [], []]]
[95, 159, 31.11, 27.28, [[], [1550.4781129023384, 1555.850266740754, 1560.2848889033785], [], []]]
[95, 161, 30.96, 27.34, [[], [1550.4772768976004, 1555.850249561377, 1560.2858564612407], [], []]]
[95, 163, 30.7, 27.31, [[], [1550.476919353113, 1555.8506850321605, 1560.2847011063284], [], []]]
[95, 165, 30.18, 27.28, [[], [1550.4756731373686, 1555.852208057321, 1560.2859428485776], [], []]]
[95, 167, 29.8, 27.26, [[], [1550.474339392599, 1555.8538270694519, 1560.2861663418778], [], []]]
[95, 169, 29.76, 27.22, [[], [1550.4731191439405, 1555.8551260161557, 1560.2863958266687], [], []]]
[95, 171, 30.12, 27.26, [[], [1550.4725338698747, 1555.85653737973, 1560.2863402346504], [], []]]
[95, 173, 30.69, 27.32, [[], [1550.4733980573533, 1555.855354208898, 1560.2868195204978], [], []]]
[100, 135, 31.13, 27.29, [[], [1550.4723172664847, 1555.856740924149, 1560.274779917281], [], []]]
[100, 137, 31.19, 27.31, [[], [1550.4720906498978, 1555.8572675258845, 1560.2741797110884], [], []]]
[100, 139, 31.02, 27.28, [[], [1550.4717319933602, 1555.857430734282, 1560.2757662468257], [], []]]
[100, 141, 30.72, 27.29, [[], [1550.4709749969109, 1555.8584436026754, 1560.2763687073561], [], []]]
[100, 143, 30.25, 27.32, [[], [1550.4716466878376, 1555.857671254607, 1560.2783751728941], [], []]]
[100, 145, 29.98, 27.31, [[], [1550.4711318858388, 1555.8578994479158, 1560.2787165947207], [], []]]
