[55, 150, 30.4, 27.23, [[], [1550.4594036798258, 1555.860578099867, 1560.2754189601005], [], []], [[], [1550.4585216328176, 1555.856702321857, 1560.2910105913625], [], []]]
[55, 153, 30.68, 27.17, [[], [1550.4594838663027, 1555.8600128785706, 1560.2749317315106], [], []], [[], [1550.4577999562732, 1555.8552488990056, 1560.291254204601], [], []]]
[55, 156, 31.07, 27.25, [[], [1550.4590829348335, 1555.8615470514515, 1560.2750129362335], [], []], [[], [1550.4572386535106, 1555.856863813117, 1560.2925535122008], [], []]]
[55, 159, 31.49, 27.26, [[], [1550.4589225622954, 1555.8600128790733, 1560.2751753456787], [], []], [[], [1550.457399025468, 1555.857106044266, 1560.2923098107142], [], []]]
[55, 162, 31.79, 27.19, [[], [1550.4593234937645, 1555.8596898956307, 1560.275824984221], [], []], [[], [1550.4578801423347, 1555.8607396092302, 1560.292715912686], [], []]]
[55, 165, 31.98, 27.23, [[], [1550.459163121061, 1555.8602551167598, 1560.2746069122818], [], []], [[], [1550.4576395839842, 1555.8582364724443, 1560.2974259174537], [], []]]
[55, 168, 31.84, 27.22, [[], [1550.4585216311584, 1555.8604973552006, 1560.275418960185], [], []], [[], [1550.4570782813046, 1555.8571060416682, 1560.2971010604401], [], []]]
[55, 171, 31.25, 27.14, [[], [1550.458601817386, 1555.8601743707522, 1560.274931731257], [], []], [[], [1550.4573990257165, 1555.8601743773734, 1560.2967763422234], [], []]]
[55, 174, 30.52, 27.28, [[], [1550.4586018174691, 1555.8583979625314, 1560.2750941407871], [], []], [[], [1550.4577197704602, 1555.8578327489452, 1560.2975884602026], [], []]]
[60, 135, 29.97, 27.22, [[], [1550.4586820038621, 1555.8581557265209, 1560.275094140956], [], []], [[], [1550.4573188393233, 1555.8562178389404, 1560.2923099222926], [], []]]
[60, 138, 29.83, 27.22, [[], [1550.4585216311584, 1555.8584787082868, 1560.275743779414], [], []], [[], [1550.4572386535933, 1555.8538762261844, 1560.2920661989133], [], []]]
[60, 141, 29.88, 27.25, [[], [1550.4587621898406, 1555.8583979629502, 1560.2755001649075], [], []], [[], [1550.4573990253848, 1555.8575905095822, 1560.2893052007262], [], []]]
[60, 144, 30.02, 27.23, [[], [1550.4586018173861, 1555.8583979647103, 1560.275337755378], [], []], [[], [1550.4577999565222, 1555.8570252992647, 1560.2901985165795], [], []]]
[60, 147, 30.46, 27.19, [[], [1550.4586820036134, 1555.8584787088737, 1560.274282093222], [], []], [[], [1550.4563566081601, 1555.8560563460037, 1560.2914166235983], [], []]]
[60, 150, 31.01, 27.17, [[], [1550.4584414449312, 1555.859124675172, 1560.2746069121972], [], []], [[], [1550.4568377242806, 1555.8581557304599, 1560.2879247488413], [], []]]
[60, 153, 31.42, 27.23, [[], [1550.4584414449312, 1555.8562178323195, 1560.2747693218962], [], []], [[], [1550.456917909513, 1555.8541184678102, 1560.2942588502603], [], []]]
[60, 156, 31.77, 27.16, [[], [1550.4592433074542, 1555.857509761312, 1560.2750941408715], [], []], [[], [1550.4571050105721, 1555.8568638045772, 1560.3007464256318], [], []]]
[60, 159, 31.97, 27.2, [[], [1550.4586820036964, 1555.8582364715226, 1560.2755813697993], [], []], [[], [1550.4569980954088, 1555.8583979721693, 1560.2922286842654], [], []]]
[60, 162, 32.06, 27.22, [[], [1550.458441445346, 1555.858478708371, 1560.274931731257], [], []], [[], [1550.4569179095129, 1555.8577520053682, 1560.2925535386587], [], []]]
[60, 165, 32.02, 27.23, [[], [1550.4579603280642, 1555.857751997155, 1560.2757437794985], [], []], [[], [1550.4561962359544, 1555.8553296362963, 1560.2973448139128], [], []]]
[60, 168, 31.89, 27.19, [[], [1550.4578801421685, 1555.8576712516506, 1560.2750941408715], [], []], [[], [1550.4567575381363, 1555.858640220668, 1560.2944213437281], [], []]]
[60, 171, 31.82, 27.23, [[], [1550.4579603280642, 1555.8591246764292, 1560.275418960523], [], []], [[], [1550.4560358636654, 1555.8582364747072, 1560.297832064227], [], []]]
[60, 174, 31.68, 27.2, [[], [1550.4580405142917, 1555.8580749796754, 1560.2756625746067], [], []], [[], [1550.4565169797029, 1555.8570252895424, 1560.3018113156709], [], []]]
[65, 135, 31.55, 27.2, [[], [1550.4582810733057, 1555.8583172176975, 1560.2750941412098], [], []], [[], [1550.4567575378046, 1555.8588016947467, 1560.2940964163022], [], []]]
[65, 138, 31.49, 27.22, [[], [1550.4583612591184, 1555.857509760893, 1560.2750129360643], [], []], [[], [1550.4565971657644, 1555.8551681631393, 1560.2909293598443], [], []]]
[65, 141, 31.47, 27.23, [[], [1550.458040514292, 1555.8558141042945, 1560.275418960016], [], []], [[], [1550.4561962357882, 1555.8555718794305, 1560.288493167277], [], []]]
[65, 144, 31.4, 27.2, [[], [1550.4582008865805, 1555.8547644144967, 1560.2743632979445], [], []], [[], [1550.4571584679466, 1555.8570252996838, 1560.2882495780445], [], []]]
[65, 147, 31.15, 27.19, [[], [1550.4586018174691, 1555.8537954712933, 1560.2748505267878], [], []], [[], [1550.4568377237001, 1555.853230264831, 1560.2938528069517], [], []]]
[65, 150, 30.73, 27.25, [[], [1550.458842376151, 1555.8530687645193, 1560.2744445035125], [], []], [[], [1550.4566773520748, 1555.8516153570893, 1560.295395737849], [], []]]
[65, 153, 30.25, 27.16, [[], [1550.459002748523, 1555.8512923738144, 1560.2749317316798], [], []], [[], [1550.4568377232854, 1555.8507271617368, 1560.2960454366603], [], []]]
[65, 156, 29.95, 27.23, [[], [1550.4587621898406, 1555.849435241293, 1560.2751753458479], [], []], [[], [1550.4565169797029, 1555.848627798401, 1560.2933655978038], [], []]]
[65, 159, 29.8, 27.14, [[], [1550.459163121061, 1555.8475781133802, 1560.274931731257], [], []], [[], [1550.4571584678633, 1555.8505656753373, 1560.2915790219704], [], []]]
[65, 162, 29.78, 27.28, [[], [1550.4590829348335, 1555.8477396024616, 1560.2751753455098], [], []], [[], [1550.4573188400695, 1555.8475781190796, 1560.2955582424743], [], []]]
[65, 165, 29.64, 27.19, [[], [1550.4593234935987, 1555.8482240706273, 1560.2750941408715], [], []], [[], [1550.456917909762, 1555.847174393988, 1560.2953146356608], [], []]]
[65, 168, 29.72, 27.16, [[], [1550.4597244250676, 1555.8471743911382, 1560.2752565507394], [], []], [[], [1550.457238653842, 1555.8479010992537, 1560.2936092588855], [], []]]
[65, 171, 30.0, 27.22, [[], [1550.459564052613, 1555.8468514125568, 1560.2749317318487], [], []], [[], [1550.4569179097618, 1555.8471743964185, 1560.3010803582051], [], []]]
[65, 174, 30.16, 27.19, [[], [1550.459644239089, 1555.846609179312, 1560.2750129364867], [], []], [[], [1550.4571584683613, 1555.8483855636475, 1560.2950710737305], [], []]]
[70, 135, 30.35, 27.17, [[], [1550.4592433073713, 1555.8469321578937, 1560.2740384792228], [], []], [[], [1550.456597165018, 1555.847497371396, 1560.2939339698328], [], []]]
[70, 138, 30.68, 27.22, [[], [1550.4586820036134, 1555.8466899245652, 1560.2747693216425], [], []], [[], [1550.4563566077456, 1555.8465284369927, 1560.2884119475088], [], []]]
[70, 141, 30.99, 27.17, [[], [1550.4588423760683, 1555.8461247132416, 1560.2740384792228], [], []], [[], [1550.4573990260483, 1555.8485470639594, 1560.287843595766], [], []]]
[70, 144, 31.15, 27.23, [[], [1550.4586820036134, 1555.8455595014157, 1560.2742820933065], [], []], [[], [1550.4569980958236, 1555.8470129057446, 1560.2885743490924], [], []]]
[70, 147, 31.28, 27.14, [[], [1550.4590027487718, 1555.8449135463475, 1560.2741196840302], [], []], [[], [1550.4568377233686, 1555.8466091847597, 1560.2955582051982], [], []]]
[70, 150, 31.44, 27.19, [[], [1550.459163121393, 1555.845478756833, 1560.2746069121972], [], []], [[], [1550.4573188410648, 1555.8474166374574, 1560.2892240752908], [], []]]
[70, 153, 31.64, 27.23, [[], [1550.458281073057, 1555.8448328021004, 1560.274119683861], [], []], [[], [1550.4568377239489, 1555.8467706689798, 1560.293690457776], [], []]]
[70, 156, 31.78, 27.23, [[], [1550.4588423760683, 1555.8447520579373, 1560.2737136607545], [], []], [[], [1550.4565169807813, 1555.845963226088, 1560.2888180166829], [], []]]
[70, 159, 31.72, 27.14, [[], [1550.4582008867467, 1555.8450750350098, 1560.2746069122818], [], []], [[], [1550.457479212856, 1555.8457209917538, 1560.2932031781304], [], []]]
[70, 162, 31.36, 27.19, [[], [1550.4584414452631, 1555.8444290811997, 1560.2742008887526], [], []], [[], [1550.4563566071654, 1555.8460439725145, 1560.296126607318], [], []]]
[70, 165, 30.7, 27.25, [[], [1550.458682004028, 1555.8441868480384, 1560.274119684199], [], []], [[], [1550.4572386539248, 1555.8466091836704, 1560.2932031699315], [], []]]
[70, 168, 30.2, 27.17, [[], [1550.4582008865805, 1555.8440253594604, 1560.2745257073898], [], []], [[], [1550.4555547496182, 1555.8446713147794, 1560.296613926524], [], []]]
[70, 171, 29.82, 27.19, [[], [1550.4582008866637, 1555.8441868478715, 1560.2743632986208], [], []], [[], [1550.456677351494, 1555.845236525181, 1560.3010802309868], [], []]]
[70, 174, 29.84, 27.23, [[], [1550.4578801421687, 1555.843540894312, 1560.2735512515626], [], []], [[], [1550.4561962367009, 1555.8453980193747, 1560.299618768971], [], []]]
[75, 135, 29.89, 27.13, [[], [1550.4577999559413, 1555.8433794060688, 1560.273794865731], [], []], [[], [1550.4559556782674, 1555.8442675924532, 1560.2844328608985], [], []]]
[75, 138, 29.91, 27.19, [[], [1550.4571584672826, 1555.8434601504837, 1560.2734700469246], [], []], [[], [1550.4554745622297, 1555.8445905712028, 1560.2879246968566], [], []]]
[75, 141, 30.0, 27.22, [[], [1550.456998095326, 1555.8432986618216, 1560.2739572745845], [], []], [[], [1550.4552340045427, 1555.8433794065718, 1560.2867878257518], [], []]]
[75, 144, 30.15, 27.19, [[], [1550.4569179090156, 1555.8438638711334, 1560.2738760707073], [], []], [[], [1550.4563566099023, 1555.8441061049646, 1560.2854885376778], [], []]]
[75, 147, 30.32, 27.28, [[], [1550.4561160491462, 1555.8437831268025, 1560.2744445028363], [], []], [[], [1550.4549934482657, 1555.8439446158, 1560.2877622731262], [], []]]
[75, 150, 30.44, 27.16, [[], [1550.4557953054805, 1555.8437023828064, 1560.2735512515626], [], []], [[], [1550.4553141928438, 1555.843783127724, 1560.285894608373], [], []]]
[75, 153, 30.61, 27.23, [[], [1550.4564367929777, 1555.8436216385594, 1560.273957274669], [], []], [[], [1550.455234004377, 1555.8437831273054, 1560.2909294459791], [], []]]
[75, 156, 30.95, 27.25, [[], [1550.4558754913764, 1555.8437023827228, 1560.2733888422863], [], []], [[], [1550.4547528901642, 1555.8441061045457, 1560.2917414508572], [], []]]
[75, 159, 31.55, 27.26, [[], [1550.456597165018, 1555.8441868482064, 1560.2732264330095], [], []], [[], [1550.4550736330834, 1555.8441061037915, 1560.2904421764774], [], []]]
[75, 162, 31.8, 27.19, [[], [1550.4561160493952, 1555.844267592286, 1560.2740384792228], [], []], [[], [1550.4549132628679, 1555.8447520596976, 1560.2886556040253], [], []]]
[75, 165, 31.49, 27.19, [[], [1550.454993446773, 1555.8442675922022, 1560.2731452282874], [], []], [[], [1550.4541114043257, 1555.8445905717056, 1560.2918226630186], [], []]]
[75, 168, 30.93, 27.2, [[], [1550.4553943760025, 1555.844186847871, 1560.27371366067], [], []], [[], [1550.4554745625617, 1555.8442675928727, 1560.293040854313], [], []]]
